"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"960628484576964608","","","2018-02-05 21:37:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","いつの間にかもう一歳老いるまでに2週間をきっていた","","","",""
"960619543633608705","","","2018-02-05 21:02:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @6rGpQ5GrRohtiTU: https://t.co/Gm0WE2e1vK","960311550161469440","960302353596346369","2018-02-05 00:38:09 +0000","https://twitter.com/6rGpQ5GrRohtiTU/status/960311550161469440/photo/1,https://twitter.com/6rGpQ5GrRohtiTU/status/960311550161469440/photo/1"
"960523041204666368","","","2018-02-05 14:38:33 +0000","<a href=""http://utabami.com/TodaysTwitterLife/"" rel=""nofollow"">今日のツイライフ</a>","ツイート数:30
RTした数:14
いいねした数:63
https://t.co/UgwkViC9mX","","","","http://utabami.com/TodaysTwitterLife"
"960520554707959808","","","2018-02-05 14:28:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","なんでお前がそんなこと言ってんだよみたいに言われそうなことは言わないようにしよう","","","",""
"960520129103642624","","","2018-02-05 14:26:59 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ツイ消し","","","",""
"960512280499691521","","","2018-02-05 13:55:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","改札突破部は草 https://t.co/4e7WS54mzX","","","","https://twitter.com/freemonsto/status/960507659253264384"
"960511805045919744","","","2018-02-05 13:53:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @6rGpQ5GrRohtiTU: #磯子高校
#無賃乗車
#拡散 https://t.co/qhSPuaLt1c","960304206010707968","960302353596346369","2018-02-05 00:08:58 +0000","https://twitter.com/6rGpQ5GrRohtiTU/status/960304206010707968/video/1,https://twitter.com/6rGpQ5GrRohtiTU/status/960304206010707968/video/1"
"960507790144897024","","","2018-02-05 13:37:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @gruegreen: 一歳の娘を連れて行った免許更新は忘れられない。窓口では授乳室にすぐ案内してもらえて、講習は「本日は未来の優良ドライバーが来ておりますので、多少の泣き声等はご理解ください」と言ってもらえて涙が出た。子供ぐずったけどみんな優しかった。山形県免許センター…","960136460060930048","254558527","2018-02-04 13:02:25 +0000",""
"960507322438057985","","","2018-02-05 13:36:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","そういえばNintendo Switchのオンラインサービスの有料化が今年の9月からに決まりましたね
スプラもう飽きてしまったのだが","","","",""
"960506871957237761","","","2018-02-05 13:34:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EventTrigger便利すぎでは？","","","",""
"960505361563246593","","","2018-02-05 13:28:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @rindou440: 沖縄在住の父に「（名護市長選）すごい選挙だったねー」と連絡したらナチュラルにヤバイ情報が返ってきて草。車って。 https://t.co/JX2RAVeIWe","960154585644990464","728252325215633409","2018-02-04 14:14:26 +0000","https://twitter.com/rindou440/status/960154585644990464/photo/1,https://twitter.com/rindou440/status/960154585644990464/photo/1"
"960504949858709504","","","2018-02-05 13:26:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @top100_274: うそ...うそんっ！！！やった！！やりました！！！通報し続けて苦節半年...フォロワー100万超えの悪質パクツイアカウント、peko(@moo749)が凍結しました！！！！皆さまご協力本当にありがとうございました😭今夜はいいお酒が飲めそうです🥂…","960363088712163330","2524417501","2018-02-05 04:02:57 +0000","https://twitter.com/top100_274/status/960363088712163330/photo/1"
